time,temp,est,door,compressor
439,3.65488,405.157,0,0
440,3.23969,1056.59,0,0
441,3.23969,1061.9,0,0
442,3.65488,408.765,0,0
443,3.19064,1339.64,0,0
444,3.41101,647.723,0,0
445,3.41101,650.977,0,0
446,3.43545,618.317,0,0
447,3.33765,797.651,0,0
448,3.43545,623.855,0,0
449,3.53308,512.862,0,0
450,3.63054,435.839,0,0
451,3.55746,495.722,0,0
452,3.45987,605.179,0,0
453,3.41101,681.881,0,0
454,3.41101,685.308,0,0
455,3.33765,843.74,0,0
456,3.36211,788.513,0,0
457,3.55746,507.095,0,0
458,3.48428,589.576,0,0
459,3.38657,750.512,0,0
460,3.53308,538.105,0,0
461,3.43545,669.271,0,0
462,3.43545,672.634,0,0
463,3.45987,637.736,0,0
464,3.43545,679.616,0,0
465,3.53308,549.759,0,0
466,3.41101,731.987,0,0
467,3.53308,554.614,0,0
468,3.45987,654.489,0,0
469,3.41101,744.791,0,0
470,3.58183,511.005,0,0
471,3.41101,754.056,0,0
472,3.43545,710.05,0,0
473,3.43545,713.618,0,0
474,3.55746,544.11,0,0
475,3.63054,477.471,0,0
476,3.58183,524.438,0,0
477,3.43545,732.542,0,0
478,3.53308,583.702,0,0
479,3.45987,695.166,0,0
480,3.38657,858.494,0,0
481,3.60619,510.875,0,0
482,3.53308,594.59,0,0
483,3.55746,567.516,0,0
484,3.75215,406.332,0,0
485,3.45987,721.408,0,0
486,3.67922,459.42,0,0
487,3.55746,580.338,0,0
488,3.67922,463.573,0,0
489,3.55746,586.946,0,0
490,3.45987,746.022,0,0
491,3.38657,936.98,0,0
492,3.38657,941.688,0,0
493,3.72785,435.294,0,0
494,3.55746,600.103,0,0
495,3.63054,519.821,0,0
496,3.55746,606.638,0,0
497,3.48428,727.715,0,0
498,3.55746,612.251,0,0
499,3.53308,650.826,0,0
500,3.48428,739.949,0,0
501,3.55746,620.844,0,0
502,3.50868,701.587,0,0
503,3.60619,564.112,0,0
504,3.58183,596.92,0,0
505,3.72785,455.016,0,0
506,3.41101,966.259,0,0
507,3.67922,498.812,0,0
508,3.53308,683.311,0,0
509,3.63054,552.34,0,0
510,3.70354,483.842,0,0
511,3.50868,741.794,0,0
512,3.55746,658.476,0,0
513,3.63054,562.823,0,0
514,3.55746,665.698,0,0
515,3.41101,1039.19,0,0
516,3.75215,455.032,0,0
517,3.55746,676.192,0,0
518,3.63054,575.649,0,0
519,3.50868,777.923,0,0
520,3.45987,907.777,0,0
521,3.45987,912.339,0,0
522,3.55746,691.862,0,0
523,3.58183,654.987,0,0
524,3.63054,589.551,0,0
525,3.67922,536.288,0,0
526,3.92199,365.244,0,0
527,3.87351,392.468,0,0
528,3.60619,639.612,0,0
529,3.75215,479.329,0,0
530,3.67922,552.282,0,0
531,3.48428,914.95,0,0
532,3.72785,506.856,0,0
533,3.70354,533.417,0,0
534,3.77644,469.403,0,0
535,3.48428,945.536,0,0
536,3.36211,1644.23,0,0
537,3.60619,670.034,0,0
538,3.60619,673.401,0,0
539,3.77644,476.986,0,0
540,3.55746,775.239,0,0
541,3.50868,904.029,0,0
542,3.75215,503.593,0,0
543,3.63054,652.014,0,0
544,3.48428,1005.71,0,0
545,3.55746,796.574,0,0
546,3.63054,660.157,0,0
547,3.58183,751.809,0,0
548,3.55746,809.799,0,0
549,3.87351,420.581,0,0
550,3.53308,886.391,0,0
551,3.48428,1058.04,0,0
552,3.80073,478.283,0,0
553,3.60619,728.248,0,0
554,3.67922,612.834,0,0
555,3.60619,736.305,0,0
556,3.53308,921.205,0,0
557,3.67922,620.584,0,0
558,3.58183,800.454,0,0
559,3.87351,434.14,0,0
560,3.67922,630.69,0,0
561,3.70354,600.22,0,0
562,3.72785,572.704,0,0
563,3.60619,772.138,0,0
564,3.75215,549.677,0,0
565,3.63054,730.962,0,0
566,3.67922,650.126,0,0
567,3.75215,556.91,0,0
568,3.72785,588.827,0,0
569,3.70354,624.445,0,0
570,3.70354,627.583,0,0
571,3.77644,540.4,0,0
572,3.60619,818.125,0,0
573,3.53308,1052.2,0,0
574,3.67922,677.087,0,0
575,3.65488,724.076,0,0
576,3.825,501.861,0,0
577,3.70354,648.896,0,0
578,3.80073,530.03,0,0
579,3.55746,1007.17,0,0
580,3.58183,928.919,0,0
581,3.84926,489.396,0,0
582,3.50868,1257.85,0,0
583,3.94621,419.888,0,0
584,3.50868,1283.5,0,0
585,3.72785,636.142,0,0
586,3.77644,574.458,0,0
587,3.72785,642.916,0,0
588,3.80073,551.703,0,0
589,3.75215,614.656,0,0
590,3.72785,653.408,0,0
591,3.84926,509.126,0,0
592,3.825,535.869,0,0
593,3.87351,491.845,0,0
594,3.84926,516.84,0,0
595,3.63054,884.914,0,0
596,3.75215,638.367,0,0
597,3.70354,723.623,0,0
598,3.80073,578.591,0,0
599,3.80073,581.499,0,0
600,3.99462,413.913,0,0
601,3.77644,620.834,0,0
602,3.80073,591.379,0,0
603,3.77644,627.262,0,0
604,3.70354,756.873,0,0
605,3.87351,517.458,0,0
606,3.67922,822.005,0,0
607,3.72785,720.85,0,0
608,3.67922,830.897,0,0
609,4.043,396.827,0,0
610,3.84926,554.612,0,0
611,3.72785,739.272,0,0
612,3.80073,620.79,0,0
613,3.63054,1016.13,0,0
614,3.89775,512.663,0,0
615,3.825,596.533,0,0
616,3.84926,569.42,0,0
617,3.77644,674.453,0,0
618,3.75215,720.998,0,0
619,3.80073,642.42,0,0
620,3.67922,903.26,0,0
621,3.70354,840.347,0,0
622,3.87351,554.958,0,0
623,3.87351,557.747,0,0
624,3.87351,560.549,0,0
625,3.75215,749.698,0,0
626,3.99462,452.765,0,0
627,3.84926,599.1,0,0
628,3.89775,544.332,0,0
629,3.75215,770.045,0,0
630,3.94621,500.604,0,0
631,3.65488,1076.96,0,0
632,3.94621,504.298,0,0
633,3.94621,506.832,0,0
634,3.77644,742.928,0,0
635,3.70354,930.871,0,0
636,3.99462,470.13,0,0
637,3.825,666.758,0,0
638,3.67922,1039.14,0,0
639,3.84926,634.644,0,0
640,3.92199,545.794,0,0
641,3.97042,500.225,0,0
642,3.825,684.721,0,0
643,3.97042,504.591,0,0
644,3.84926,652.98,0,0
645,3.75215,854.138,0,0
646,3.94621,534.654,0,0
647,3.94621,537.34,0,0
648,3.84926,666.99,0,0
649,3.89775,599.496,0,0
650,3.87351,636.295,0,0
651,3.84926,677.701,0,0
652,3.75215,896.71,0,0
653,3.75215,901.216,0,0
654,3.99462,503.647,0,0
655,3.89775,615.976,0,0
656,3.92199,587.055,0,0
657,3.67922,1230.99,0,0
658,3.63054,1583.92,0,0
659,4.1155,418.207,0,0
660,3.92199,596.756,0,0
661,3.825,760.596,0,0
662,3.94621,571.812,0,0
663,3.84926,720.646,0,0
664,3.89775,642.262,0,0
665,3.89775,645.49,0,0
666,3.70354,1196.98,0,0
667,3.80073,844.191,0,0
668,3.92199,617.49,0,0
669,3.94621,588.437,0,0
670,3.89775,660.166,0,0
671,3.75215,1022.61,0,0
672,3.94621,595.785,0,0
673,3.99462,541.693,0,0
674,3.75215,1046.7,0,0
675,4.043,498.021,0,0
676,3.87351,723.725,0,0
677,4.09134,461.526,0,0
678,3.77644,988.997,0,0
679,3.80073,913.786,0,0
680,3.84926,790.322,0,0
681,4.01882,533.227,0,0
682,3.80073,931.816,0,0
683,3.87351,750.525,0,0
684,3.99462,566.246,0,0
685,3.99462,569.091,0,0
686,3.89775,716.203,0,0
687,3.825,889.066,0,0
688,3.75215,1170.49,0,0
689,3.89775,724.966,0,0
690,3.92199,684.663,0,0
691,3.99462,582.301,0,0
692,3.84926,847.244,0,0
693,3.80073,1002.04,0,0
694,3.99462,588.982,0,0
695,3.94621,660.783,0,0
696,4.043,538.306,0,0
697,3.80073,1033.45,0,0
698,3.92199,712.449,0,0
699,4.06718,519.636,0,0
700,4.06718,522.247,0,0
701,4.01882,578.234,0,0
702,4.01882,581.14,0,0
703,4.01882,584.06,0,0
704,4.06718,532.08,0,0
705,3.97042,658.652,0,0
706,3.89775,802.246,0,0
707,4.01882,595.107,0,0
708,4.09134,516.628,0,0
709,3.92199,763.194,0,0
710,4.09134,520.996,0,0
711,3.75215,1477.68,0,0
712,4.01882,608.732,0,0
713,3.94621,729.612,0,0
714,4.1155,505.264,0,0
715,3.92199,790.022,0,0
716,4.09134,533.297,0,0
717,3.94621,747.307,0,0
718,3.99462,663.373,0,0
719,4.01882,629.777,0,0
720,3.97042,712.259,0,0
721,4.01882,635.767,0,0
722,4.01882,638.962,0,0
723,4.01882,642.172,0,0
724,3.92199,835.129,0,0
725,3.94621,781.563,0,0
726,4.1155,529.516,0,0
727,3.92199,850.634,0,0
728,4.06718,589.085,0,0
729,4.01882,660.836,0,0
730,3.92199,866.805,0,0
731,3.99462,708.242,0,0
